,review
0,fun reinvention the pokémon formula hopefully the next version keeps this change while giving better look 
1,fun challenging times pokemon game with addictive gameplay loop and interesting system fighting and catching pokemon huge step the right direction the graphics performance and multiplayer options need work but those are the only major flaws the story pacing battles catching mechanics exploration and general gameplay are such improvement over sword shield and sun moon there are major series changes that make big differences quality life such limit the number moves pokemon can learn they just have memorized pre battles and not having trade evolve certain pokemon anymore using rare items them instead exploration crafting gathering and finding rare and shiny pokemon have never been this fun gone much the tedium and boredom found previous games you care only about graphics online competitive battles you will find reasons not like this game but you into the collecting aspect pokemon you will love this worth noting that the graphics and performance issues are much less noticeable when playing handheld 
2,best pokemon game all time new pokemon new stuff new ways catch pokemon and better gameplay 
3,one outstanding experience that certain absolutely love the direction gamefreak going for with this whole new installment for the pokemon series and very refreshing while being very needed the same time catching pokemon this game more fun than ever and fan since the first era with the firered leafgreen versions way more than nostalgia trip brand new experience and sincerely hope that will see bigger sequel because the game really deserves one with further gameplay enhancements maybe bigger map with more activities cheers all the haters 
4,incredible game that moves the pokemon series forward fresh new direction the gameplay loop fun and while the graphics aren great they are more than fine gameplay should always take precedent over graphics and legends arceus joy play 
5,addicted new mechanics and ideas are really fantastic can stop playing over hrs and still can put down the console the world really beautifull exploration truly amazing the only grip the performance and graphics but the game has own graphical moments must play for sure 
6,this such spectacular evolution for the pokémon franchise from the first few moments you know you stepping into new fresh take the series and the game continues surprise time and time again even into hours gameplay 
7,delight play this game perfect evolution the saga with magnificent exploration completing the pokedex very satisfying unlike traditional pokemon that was more nuisance than anything else graphically not bad all but that the least important fun addictive enjoy 
8,this the best pokémon game ever played feels like what thought was playing when was child years ago but without having imagine much 
9,get this out the way the graphics the only thing imho that needs polish but they are still servicable been playing the game for over hours and honestly most fun had years with pokemon game this game testing grounds for future pokemon games this style let put the graphics aside for moment and look the bigger picture here aside from graphics you want more pokemon games like this sure that why despite the graphics needing more that this game deserves 
10,excellent step the right direction for pokemon not listen the bad reviews they are weak and shall forgotten 
11,finally this the change the saga what the true consumers demanded hope the next generation with 1000 pokémon will full open world and the best gen all times 
12,game with terrible graphics and technical issues but extremely fun and addictive gameplay this the right direction for pokémon much more enjoyable than the boring exploration and battles and exploring crafting discovering new pokémon blast also the reviews are from people who obviously didn even bother playing the game and are just hating because looked bad the trailers and they don like wrong 
13,overall this game breath fresh air brings new elements and life system that has otherwise overstayed its welcome for the last few decades genuinely hope they keep this fusion rpg turn based system for pokemon games follow allowed the player actual choice and actual exploration that felt rewarding whether that the form finding rare items pokemon spawns never felt was pointless actually touch every corner the admittedly large segmented areas for player choice there were many times had marker the map which indicated where needed progress the story which just ignored you can explore catch and train pokemon your own pace which most pokemon fans know isn the norm you can find rare items pokemon alpha pokemon and everything else freely from your second time stepping into the fields which was really nice ontop that there are multiple ways completed your pokedex you can battle you can capture you can observe you can raise them yourself and learn things about them you see lot people here saying felt tedious but they had options they just didn explore them take the time read them course there graphical downside but honestly never felt like hindered experience throughout play through area they need work though going forward without going too much into since want this spoiler free review this game amazing can understand people who are trying say this the worse pokemon game ever exist far from the worse and easily ranks one the best imo really hope they intend keep this formula because don know can revert the old system gen9 after experiencing this this fun game and you actually read into the mechanics and into the side quest they give you fun idea the npcs take the world your character and many other aspects lot fun easter eggs are the game too keep your eyes peeled for those 
14,best pokemon everhistory 10gameplay 10ost 10art graphycs for funny 
15,the best pokemon game far the world feels immersive the gameplay fun and escapes the old formula which was getting stale after every game being near enough copy paste the last 
16,have played literally every pokémon game over the last years still remember sitting the car parents got and sister gameboy color and game for each pokemon red for sister pokemon blue for always had rival growing trying catch more train harder just over all the better pokémon trainer than sister she filled her dex before but had the first lvl 100 pokémon older now internet has definitely impacted personal connection the pokémon franchise because made feel less connected individuals but pokémon legends arceus brought the personal connection pokémon missed for long over the years yes love the old mechanics but after years them think time for fresh start and arceus did just that see this game gen whole new pokémon experience and feel like this game more fairly compared pokémon yellow first touch multiplayer since see most complaining the lack multiplayer but this game not game meant have all the fancy online features that take away the truest soul and heart pokémon the reason all attached the original games was the connection had with our pokémon and trading pokémon that feeling you get when companion you worked hard leaves your party you feel battles will coming but they need build the world for first arceus needs seen foundation for what can come and truly believe gamefreak sees the same way think about the game starts off with being sent into the past before gyms before pokémon centers before even people and pokémon achieved harmony the world isn empty just fertile and ready for civilization established jublife city just the start mechanic wise this game revolutionized how play pokémon being able run and throwing out your pokémon left and right gather material cycling through them you get rhythm and collecting even faster because you have your pokémon helping getting caught pokémon and throwing out yours just you can actually run away good distance away from the pokémon attacking you more hitting run away button for throwing all six your pokémon out they can interact with each other even running into the toward the enemy pokémon you tell your pokémon attack the mechanics let you interact with your pokémon many ways rating technically for this game but damn good start for the next generation pokémon 
17,the pokemon game been waiting for since first watched the anime kid visuals are little lacking but everything else amazing inflated battle the trolls 
18,been long time since picked pokemon game think alpha sapphire was the last one remember picking pokemon red and has come long way after playing this game all want now for them the remake the kanto region with all the original pokemon 
19,refreshing new take the series the ball catching mechanics are great and love the options the game gives graphics could better but the story also very good 
20,this new masterpiece brought the pokemon community try over the positive elements and things improve also try make free spoilers too but things improve you rated this game and has things work sure rating game based the fun having and the urge continue playing and both those things are over the roof having blast and the people around who bought too seems the same place this totally worth opinion giving this just because pokemon absolutely not pokemon the last few years has been hard finish the sense getting boring before you get the good part the end game lets start with the positives catching mecanics are really fun using items lure stun scare pokemon while having new pokeballs that play with distance and surprise blast even have every pokemon pokemon home this game enjoying catching everything see for the first time years trying catch pokemon surprise also really rewarding and fun overworld use pokemon being able chose which pokemon throw any time really interresting like preparing the right pokeball case something goes wrong when catching knowing pokemon certain type hidden somewhere and using the best pokemon uncover crafting and game economy meaningful the world full resources look for and the money has its uses you don hoard pokemon has been giving too much players the last few games the point where hard spend all pokedex feels like you really working not filling itslef its own with just encounter while good portion just fills itslef while playing normally often stop check the pokemon front see can work something the pokedex progression also the game progression and really feels like fun goal work combat some base elements makes more refreshing like status effect for example none them last forever anymore but they have some other effects like the new sleep drowsy that makes the pokemon receive more damage this makes such moves more interresting the previous game was running around with thunderwave pokemon and catching most stuff with that the strong and agile style are interresting combined with the combat timeline refreshing while staying close tradition ivs evs are gone replaced new system that simpler although didn mind the old system was bit tedious and getting redundant for welcome the change here breeding while first was shocked that was removed was boring portion the game opinion while wouldnt mind having back with bit rework feel the game better without for this iteration alpha pokemon really fun little challenges catch these everywhere love shiny hunting now fun this game gosh weird say that things work the story while good story for pokemon not feeling bored like previous recent games but not feeling like want rush know what next maybe for the better though because taken merry time explore and experience the world and that fun competitive they really need bring battle between players the future feels off not have that option and fun part the endgame build good team battle graphics not sure why many people complain here the graphics are even not par with games like breath the wild they are still pokemon has never been praised for its graphics the lightning seems off some places when rains but other than that totally fine battle with noble pokemon while like the general idea and having fun during these battles its little offsetting throw food into pokemon face calm down like hell would calm down you threw favorite food the face the idea fun play but weird concept inventory don mind moving things storage and managing inventory but surely some things can done help that process same for pokemon boxes guess feel miss couple things improve the usage both these 
21,100 adicted love pokemon played since gen1 but didnt enjoy the games since and now hooked the quests the new pokedex mechanics the pokemon roaming its all much fun for real giv try you wont regret 
22,this huge step for turn based rpgs its open world simple yet difficult times and for company that only really made hand held games huge step there negative here but come its fun fresh new turn based experiance that theory should get better 
23,was really dissapointed with every mainline pokemon game switch far let and bdsp were inferior versions frlg platinum imo and swsh really lacked when came exploring and content over all therefore can believe that gamefreak finally did again they finally made awesome pokemon game again the new catching mechanics huge areas explore interesting story terms pokemon game lot side stuff etc now that what call next level pokemon game graphics could better but they aren bad either close they can look really nice but the draw render distance that could better overall the best pokemon game since oras imo and every pokemon should definitely pick this game you won regret 
24,oops gamefreak did again been awhile since gamefreak released good pokemon game the last one pokemon emerald obvi holy arceus don know why took sooooo long for them release another masterpiece excited see this formula milked for the next decades thinks looking forward pokemon legends kyurem deoxys 
25,this finally the game should have got long time ago seamless battle great world explore bit freedom how you want tackle things this for the first real pokemon game there some flaw the pokedex not that big the move selection bit shortened and there quite lot repetition lack any form pvp even casually but aside from this this the best pokemon experience far 
26,this the best game has made more than years hope they continue this direction 
27,this everything imagined pokemon kid while there are some things think need adjustment the entire game absolutely refreshing love being able find shiny pokemon the wild just sitting there this the future all pokemon games absolutely board definitely favorite game yet 
28,excellent game great start for series hope continues evolve and put out multiple sequels 
29,the pokemon game needed recommend for pokemon fans well those who have never played pokemon game 
30,would guess most people that are rating low for graphics haven played the game unreal engine but has its own stylization charm and the visuals are not nearly bad some people are claiming ground textures could better but other visuals are also quite attractive the changes the game brings the stunning and clean sounds music maps and unique story all excel far know game freak and the pokemon company probably have the money hire the best the best but maybe they don want that and support grow the teams they already have this giant leap forward for the innovation pokémon games can imagine the future will only get better decide for yourself watch streams you need better place form your own opinion and open different gaming experiences hyper realism doesn need the standard for every aaa game 
31,great pokemon game must have role playing game for nintendo switch the gameplay amazing well 
